INFO 2025-07-06 18:20:02,593 autoreload 22516 10936 Watching for file changes with StatReloader
INFO 2025-07-06 18:25:50,157 basehttp 22516 6472 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:25:50,157 basehttp 22516 17064 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:25:50,160 basehttp 22516 18620 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:25:50,160 basehttp 22516 12580 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:26:50,137 basehttp 22516 12580 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:26:50,143 basehttp 22516 17064 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:26:50,145 basehttp 22516 18620 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:26:50,148 basehttp 22516 6472 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:26:50,153 basehttp 22516 15628 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:26:50,159 basehttp 22516 26212 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:26:50,164 basehttp 22516 12580 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:26:50,168 basehttp 22516 6472 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:26:50,169 basehttp 22516 18620 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:26:50,170 basehttp 22516 17064 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:27:50,148 basehttp 22516 6472 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:27:50,149 basehttp 22516 17064 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:27:50,155 basehttp 22516 18620 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:27:50,157 basehttp 22516 12580 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:27:50,162 basehttp 22516 26212 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:27:50,162 basehttp 22516 15628 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:27:50,170 basehttp 22516 17064 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:27:50,177 basehttp 22516 18620 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:27:50,179 basehttp 22516 12580 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:27:50,179 basehttp 22516 26212 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:28:50,152 basehttp 22516 18620 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:28:50,152 basehttp 22516 17064 "GET /api/auth/users/ HTTP/1.1" 200 415
INFO 2025-07-06 18:28:50,152 basehttp 22516 26212 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:28:50,153 basehttp 22516 12580 "GET /api/products/ HTTP/1.1" 200 761
INFO 2025-07-06 18:28:50,153 basehttp 22516 15628 "GET /api/stock/mouvements/ HTTP/1.1" 200 52
INFO 2025-07-06 18:28:50,161 basehttp 22516 6472 "GET /api/stores/ HTTP/1.1" 200 52
INFO 2025-07-06 18:28:50,169 basehttp 22516 26212 "GET /api/messaging/messages/ HTTP/1.1" 200 52
INFO 2025-07-06 18:28:50,173 basehttp 22516 12580 "GET /api/auth/users/ HTTP/1.1" 200 415
